DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2022-10-16,France,Ligue 1,LEAGUE,2022/2023,Paris Saint Germain,Olympique Marseille,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,23,8,15,50,7,9,1,0,19,7,12,50,6,16,1,1
2022-10-16,France,Ligue 1,LEAGUE,2022/2023,Nantes,Brest,H,4,1,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,19,5,14,54,7,13,0,0,13,4,9,46,5,10,2,0
2022-10-16,France,Ligue 1,LEAGUE,2022/2023,Monaco,Clermont,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,6,4,2,35,3,8,3,1,19,5,14,65,4,11,4,0
2022-10-16,France,Ligue 1,LEAGUE,2022/2023,Auxerre,Nice,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,11,3,8,45,2,11,0,0,10,2,8,55,6,3,0,0
2022-10-21,France,Ligue 1,LEAGUE,2022/2023,Ajaccio,Paris Saint Germain,A,0,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,8,2,6,35,3,13,0,0,12,6,6,65,8,13,1,0
2022-10-22,France,Ligue 1,LEAGUE,2022/2023,Montpellier,Olympique Lyonnais,A,1,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,10,4,6,37,4,9,2,1,22,11,11,63,7,18,2,1
2022-10-22,France,Ligue 1,LEAGUE,2022/2023,Olympique Marseille,Lens,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,14,3,11,56,7,19,3,0,13,5,8,44,3,20,3,0
2022-10-23,France,Ligue 1,LEAGUE,2022/2023,Clermont,Brest,A,1,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,14,4,10,62,7,10,4,0,19,11,8,38,4,17,1,0
2022-10-23,France,Ligue 1,LEAGUE,2022/2023,Nice,Nantes,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,12,6,6,66,7,9,3,0,11,5,6,34,3,9,4,2
2022-10-23,France,Ligue 1,LEAGUE,2022/2023,Reims,Auxerre,H,2,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,18,9,9,54,8,13,4,0,13,2,11,46,2,12,0,0
2022-10-23,France,Ligue 1,LEAGUE,2022/2023,Lille,Monaco,H,4,3,D,2,2,N/A,N/A,N/A,N/A,N/A,N/A,20,6,14,60,6,8,1,0,8,6,2,40,6,10,2,0
2022-10-23,France,Ligue 1,LEAGUE,2022/2023,Troyes,Lorient,D,2,2,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,14,5,9,43,3,8,2,0,21,6,15,57,6,9,0,0
2022-10-23,France,Ligue 1,LEAGUE,2022/2023,Angers SCO,Rennes,A,1,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,8,2,6,30,5,9,2,0,14,5,9,70,6,11,2,0
2022-10-23,France,Ligue 1,LEAGUE,2022/2023,Toulouse,Strasbourg,D,2,2,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,19,7,12,48,6,14,2,1,11,5,6,52,6,8,1,0
2022-10-28,France,Ligue 1,LEAGUE,2022/2023,Lens,Toulouse,H,3,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,12,7,5,53,6,12,2,0,9,0,9,47,8,13,1,0
