DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2022-11-09,Germany,Bundesliga,LEAGUE,2022/2023,Eintracht Frankfurt,TSG Hoffenheim,H,4,2,H,3,1,N/A,N/A,N/A,N/A,N/A,N/A,15,8,7,52,4,9,0,0,12,3,9,48,5,22,3,0
2022-11-09,Germany,Bundesliga,LEAGUE,2022/2023,Schalke 04,FSV Mainz 05,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,15,4,11,45,1,16,3,0,9,1,8,55,6,17,1,0
2022-11-09,Germany,Bundesliga,LEAGUE,2022/2023,RB Leipzig,SC Freiburg,H,3,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,16,6,10,58,6,9,2,0,3,2,1,42,2,22,4,0
2022-11-09,Germany,Bundesliga,LEAGUE,2022/2023,FC Köln,Bayer 04 Leverkusen,A,1,2,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,20,6,14,59,6,9,1,0,11,3,8,41,1,7,2,0
2022-11-09,Germany,Bundesliga,LEAGUE,2022/2023,FC Union Berlin,FC Augsburg,D,2,2,D,2,2,N/A,N/A,N/A,N/A,N/A,N/A,20,7,13,59,6,7,1,0,6,2,4,41,3,10,4,0
2022-11-11,Germany,Bundesliga,LEAGUE,2022/2023,Borussia Mönchengladbach,Borussia Dortmund,H,4,2,H,3,2,N/A,N/A,N/A,N/A,N/A,N/A,13,8,5,39,2,12,1,0,18,10,8,61,9,12,2,0
2022-11-12,Germany,Bundesliga,LEAGUE,2022/2023,Werder Bremen,RB Leipzig,A,1,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,6,5,1,48,0,14,1,0,14,3,11,52,4,8,2,0
2022-11-12,Germany,Bundesliga,LEAGUE,2022/2023,Bayer 04 Leverkusen,VfB Stuttgart,H,2,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,12,4,8,44,4,11,2,0,8,1,7,56,2,10,3,0
2022-11-12,Germany,Bundesliga,LEAGUE,2022/2023,Hertha BSC,FC Köln,H,2,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,14,6,8,47,10,15,3,0,9,2,7,53,5,10,1,0
2022-11-12,Germany,Bundesliga,LEAGUE,2022/2023,Schalke 04,FC Bayern München,A,0,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,2,0,2,30,4,7,0,0,18,5,13,70,5,4,0,0
2022-11-12,Germany,Bundesliga,LEAGUE,2022/2023,TSG Hoffenheim,VfL Wolfsburg,A,1,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,23,9,14,60,7,15,0,0,6,3,3,40,1,11,3,0
2022-11-12,Germany,Bundesliga,LEAGUE,2022/2023,FC Augsburg,VfL Bochum 1848,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,18,3,15,55,6,12,1,0,11,4,7,45,2,9,1,0
2022-11-13,Germany,Bundesliga,LEAGUE,2022/2023,SC Freiburg,FC Union Berlin,H,4,1,H,4,0,N/A,N/A,N/A,N/A,N/A,N/A,8,6,2,73,2,13,0,0,3,2,1,27,1,9,1,1
2022-11-13,Germany,Bundesliga,LEAGUE,2022/2023,FSV Mainz 05,Eintracht Frankfurt,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,17,5,12,39,5,12,2,0,11,4,7,61,2,8,2,0
